date,code,name,entry_price
2025-12-20,513080,法国CAC40ETF,1.792
2025-12-20,159632,纳斯达克ETF,2.119
2025-12-20,512100,中证1000ETF,2.974
2025-12-20,501005,精准医疗LOF,0.98
2025-12-20,159793,线上消费ETF基金,1.025
2025-12-20,513890,恒生科技HKETF,1.107
2025-12-20,560010,中证1000ETF指数,3.012
2025-12-20,159845,中证1000ETF,3.022
2025-12-20,515760,浙江国资ETF,1.401
2025-12-20,513850,美国50ETF,1.675
2025-12-20,510090,ESGETF基金,2.714
2025-12-20,159328,家电ETF易方达,1.109
2025-12-20,159735,港股消费ETF,0.811
2025-12-20,159740,恒生科技ETF,0.719
2025-12-20,513180,恒生科技指数ETF,0.733
2025-12-20,513590,香港消费ETF,0.934
2025-12-20,516080,创新药ETF易方达,0.675
2025-12-20,159741,恒生科技ETF嘉实,0.72
2025-12-20,159742,恒生科技指数ETF,0.74
2025-12-20,159607,中概互联网ETF,1.088
2025-12-20,513260,恒生科技ETF基金,1.4
2025-12-20,513130,恒生科技ETF,0.719
2025-12-20,515210,钢铁ETF,1.47
2025-12-20,159605,中概互联ETF,1.091
2025-12-20,512810,军工ETF华宝,0.727
2025-12-20,516520,智能驾驶ETF,1.242
2025-12-20,560880,家电ETF龙头,1.581
2025-12-20,513330,恒生互联网ETF,0.52
2025-12-20,561120,家电ETF,1.348
2025-12-20,513380,恒生科技ETF龙头,0.663
2025-12-20,501059,国企红利LOF,2.17
2025-12-20,501076,鹏华创新动力LOF,1.725
2025-12-20,159332,央企红利ETF,1.208
2025-12-20,159688,恒生互联网ETF,1.052
2025-12-20,159708,红利ETF,0.868
2025-12-20,516060,创新药产业ETF,0.591
2025-12-20,512260,中证500低波动ETF,1.822
2025-12-20,562850,央企能源ETF,1.238
2025-12-20,501071,泓德丰泽LOF,1.033
2025-12-20,159729,互联网ETF,0.901
2025-12-20,159795,智能汽车ETF基金,1.048
2025-12-20,501051,圆信永丰汇利LOF,1.964
2025-12-20,517770,游戏传媒ETF,1.152
2025-12-20,159822,新经济ETF,0.721
2025-12-20,159856,互联网龙头ETF,0.755
2025-12-20,159578,深证主板50ETF南方,1.17
2025-12-20,513220,中概互联ETF,1.267
2025-12-20,159905,深红利ETF,1.812
2025-12-20,517200,互联网ETF,0.765
2025-12-20,159913,深价值ETF,2.39
2025-12-20,159287,创业板综ETF博时,1.051
2025-12-20,159528,国企改革ETF,1.18
2025-12-20,159936,可选消费ETF,2.159
2025-12-20,159237,港股汽车ETF基金,1.053
2025-12-20,159804,创中盘88ETF,1.435
2025-12-20,562380,央企科技引领ETF,1.021
2025-12-20,561360,石油ETF,1.174
2025-12-20,516110,汽车ETF,1.387
2025-12-20,159573,创业板200ETF华夏,1.41
2025-12-20,512640,金融地产ETF嘉实,2.532
2025-12-20,159500,500ETF,1.044
2025-12-20,562580,可选消费ETF,1.271
2025-12-20,512530,沪深300红利ETF,1.588
2025-12-20,159910,基本面120ETF,2.354
2025-12-20,159931,金融ETF,2.006
2025-12-20,159940,金融地产ETF,1.293
2025-12-20,512710,军工龙头ETF,0.713
2025-12-20,520940,港股通恒生ETF,1.057
2025-12-20,159872,智能网联汽车ETF,1.02
2025-12-20,561960,央企回报ETF,1.2
2025-12-20,562360,机器人ETF基金,1.016
2025-12-20,516760,养殖ETF,0.68
2025-12-20,560630,机器人产业ETF,1.038
2025-12-20,508080,中金亦庄产业园REIT,3.674
2025-12-20,159271,恒生指数ETF,1.019
2025-12-20,560190,公用事业ETF,1.024
2025-12-20,560810,央企ESGETF,1.081
2025-12-20,159867,畜牧ETF,0.647
2025-12-20,159550,互联网ETF沪港深,1.04
2025-12-20,501031,环境治理LOFC,0.55
2025-12-20,516560,养老ETF,0.881
2025-12-20,562510,旅游ETF,0.804
2025-12-20,510810,上海国企ETF,0.921
2025-12-20,159766,旅游ETF,0.795
2025-12-20,512070,证券保险ETF,0.924
2025-12-20,516190,文娱传媒ETF,1.173
2025-12-20,520520,恒生消费ETF华泰柏瑞,1.101
2025-12-20,159699,恒生消费ETF,1.025
2025-12-20,515680,央企创新ETF嘉实,1.595
2025-12-20,159255,通用航空ETF易方达,1.045
2025-12-20,530100,上证580ETF易方达,1.007
2025-12-20,512950,央企改革ETF,1.431
2025-12-20,159849,生物科技指数ETF,0.52
2025-12-20,516500,生物科技ETF,0.64
2025-12-20,501009,生物科技LOF,1.267
2025-12-20,510150,消费ETF,0.561
2025-12-20,515950,医药龙头ETF,0.946
2025-12-20,159725,线上消费ETF,0.901
2025-12-20,561680,中证A500红利低波ETF,1.005
2025-12-20,159787,建材ETF易方达,0.713
